TweetID,Text
1,This is a tweet with #innovation and #cloud.
2,This is a tweet with #tech and #innovation.
3,This is a tweet with #innovation and #cloud.
4,This is a tweet with #tech and #innovation.
5,This is a tweet with #cloud and #innovation.
6,This is a tweet with #AI and #tech.
7,This is a tweet with #tech and #tech.
8,This is a tweet with #data and #tech.
9,This is a tweet with #cloud and #innovation.
10,This is a tweet with #tech and #cloud.
11,This is a tweet with #data and #tech.
12,INVALID
13,This is a tweet with #cloud and #innovation.
14,This is a tweet with #tech and #AI.
15,This is a tweet with #innovation and #innovation.
16,This is a tweet with #tech and #AI.
17,INVALID
18,This is a tweet with #AI and #innovation.
19,This is a tweet with #tech and #cloud.
20,This is a tweet with #tech and #tech.
21,This is a tweet with #cloud and #AI.
22,This is a tweet with #tech and #data.
23,This is a tweet with #tech and #cloud.
24,This is a tweet with #cloud and #innovation.
25,This is a tweet with #tech and #tech.
26,INVALID
27,INVALID
28,This is a tweet with #data and #cloud.
29,This is a tweet with #AI and #tech.
30,
31,This is a tweet with #tech and #innovation.
32,This is a tweet with #innovation and #cloud.
33,This is a tweet with #cloud and #data.
34,INVALID
35,This is a tweet with #tech and #tech.
36,This is a tweet with #innovation and #tech.
37,This is a tweet with #innovation and #tech.
38,INVALID
39,This is a tweet with #data and #cloud.
40,This is a tweet with #AI and #tech.
41,This is a tweet with #AI and #AI.
42,This is a tweet with #AI and #innovation.
43,This is a tweet with #AI and #data.
44,This is a tweet with #AI and #data.
45,This is a tweet with #innovation and #cloud.
46,This is a tweet with #data and #AI.
47,This is a tweet with #innovation and #cloud.
48,This is a tweet with #tech and #tech.
49,This is a tweet with #data and #tech.
50,This is a tweet with #AI and #cloud.
